Week Start,Total Sales,Total Order Quantity,Total Amount Spent,Description
2029-09-20,49604,56,6597,
2029-09-27,52210,55,8698,
2029-10-04,57613,57,7098,
2029-10-11,44997,45,6426,
2029-10-18,58159,63,7572,
2029-10-25,65061,64,7287,
2029-11-01,43804,49,7298,
2029-11-08,59806,59,8038,
2029-11-15,46127,43,8137,
2029-11-22,52022,48,7720,Two containers delayed at port.
2029-11-29,62217,60,8101,Ad budget shifted to Facebook lead forms.
2029-12-06,45215,53,8039,
2029-12-13,47187,54,6672,
2029-12-20,52152,60,9346,
2029-12-27,60251,56,9700,
2030-01-03,67193,74,11947,Seasonal demand for dry food picked up.
2030-01-10,54006,52,6200,Ad budget shifted to Facebook lead forms.
2030-01-17,69130,64,9001,
2030-01-24,53801,56,6553,Packaging cost increased this week.
2030-01-31,59806,58,6698,
2030-02-07,60039,63,8237,
2030-02-14,48996,58,6654,
2030-02-21,52439,49,6534,
2030-02-28,62751,74,8522,Seasonal demand for dry food picked up.
2030-03-07,54654,54,7805,Packaging cost increased this week.
2030-03-14,56849,54,8834,
2030-03-21,54373,52,6166,Ad budget shifted to Facebook lead forms.
2030-03-28,51855,60,6897,
2030-04-04,46665,49,6664,Seasonal demand for dry food picked up.
2030-04-11,51825,49,7836,
2030-04-18,47381,54,6368,Wholesale buyers reordered rice and pulses.
2030-04-25,37743,35,6024,
2030-05-02,35107,34,5996,
2030-05-09,48974,58,8570,Packaging cost increased this week.
2030-05-16,50139,59,6247,Export shipment cleared on time.
2030-05-23,37427,44,6340,
2030-05-30,48450,53,5291,Seasonal demand for dry food picked up.
2030-06-06,42894,40,6546,Wholesale buyers reordered rice and pulses.
2030-06-13,42366,40,5219,
2030-06-20,44782,45,7523,
2030-06-27,47417,51,6373,
2030-07-04,52465,57,6537,
2030-07-11,40780,39,5709,Export shipment cleared on time.
2030-07-18,45148,51,6953,
2030-07-25,50453,55,6993,
2030-08-01,48524,57,7337,
2030-08-08,47089,54,7449,Seasonal demand for dry food picked up.
2030-08-15,37604,38,4475,
2030-08-22,43370,43,7104,Ad budget shifted to Facebook lead forms.
2030-08-29,45025,46,7123,Export shipment cleared on time.
2030-09-05,48498,48,6450,
2030-09-12,46755,49,5957,
2030-09-19,37905,38,4670,Packaging cost increased this week.
2030-09-26,41027,40,6031,
2030-10-03,56219,55,8107,
2030-10-10,58688,64,10270,
2030-10-17,50422,58,8965,
2030-10-24,54438,53,8765,
2030-10-31,67650,79,11270,Export shipment cleared on time.
2030-11-07,58903,54,10308,
2030-11-14,50337,55,7047,
2030-11-21,73921,83,13040,Packaging cost increased this week.
2030-11-28,51714,61,6588,Export shipment cleared on time.
2030-12-05,68203,66,11554,
2030-12-12,54561,62,6798,
2030-12-19,73010,84,11857,
2030-12-26,71100,66,10850,
2031-01-02,62260,64,8978,Wholesale buyers reordered rice and pulses.
2031-01-09,62438,68,9441,
2031-01-16,67406,75,8776,
2031-01-23,56901,66,9002,
2031-01-30,58080,60,9026,Two containers delayed at port.
2031-02-06,65851,61,8389,Export shipment cleared on time.
2031-02-13,57407,59,7314,
2031-02-20,50631,56,8931,
2031-02-27,52512,60,8896,
2031-03-06,71616,84,12132,
2031-03-13,61292,70,7294,Packaging cost increased this week.
2031-03-20,70933,68,8540,
2031-03-27,62048,63,7210,
2031-04-03,66326,70,11050,
2031-04-10,48639,55,5516,Wholesale buyers reordered rice and pulses.
2031-04-17,52536,50,8238,
2031-04-24,50913,61,6985,
2031-05-01,51069,48,6578,
2031-05-08,54781,57,8436,
2031-05-15,39281,42,6764,Export shipment cleared on time.
2031-05-22,52311,51,8642,Export shipment cleared on time.
2031-05-29,46559,51,5149,Seasonal demand for dry food picked up.
2031-06-05,38792,46,5757,
2031-06-12,39911,44,5252,
2031-06-19,38774,46,6405,
2031-06-26,38139,38,6194,
2031-07-03,50919,48,7984,
2031-07-10,39563,37,6591,
2031-07-17,46841,46,6099,Two containers delayed at port.
2031-07-24,50343,60,8035,Packaging cost increased this week.
2031-07-31,54300,51,6690,
2031-08-07,48249,53,5944,
2031-08-14,56582,57,8793,Two containers delayed at port.
2031-08-21,50531,54,6013,
2031-08-28,44546,41,7234,
2031-09-04,57458,54,10296,
2031-09-11,43479,43,7183,
2031-09-18,59861,72,7626,
2031-09-25,40700,43,5812,Wholesale buyers reordered rice and pulses.
2031-10-02,55158,57,7722,
2031-10-09,58226,56,9537,
2031-10-16,55915,63,6576,Packaging cost increased this week.
2031-10-23,43955,47,4923,Ad budget shifted to Facebook lead forms.
2031-10-30,50493,49,8624,
2031-11-06,50785,49,8745,
2031-11-13,60851,56,7156,Ad budget shifted to Facebook lead forms.
2031-11-20,67697,79,11657,Export shipment cleared on time.
2031-11-27,71876,71,11874,
2031-12-04,59395,55,9895,
2031-12-11,64676,77,9870,Seasonal demand for dry food picked up.
2031-12-18,56848,64,7402,
2031-12-25,63292,63,7798,Wholesale buyers reordered rice and pulses.
2032-01-01,70675,72,10191,
2032-01-08,67073,71,11456,
2032-01-15,59520,55,8166,
2032-01-22,59790,70,8454,Two containers delayed at port.
2032-01-29,68858,78,12147,
2032-02-05,59942,65,9315,Export shipment cleared on time.
2032-02-12,56963,56,10048,
2032-02-19,51156,61,7878,Packaging cost increased this week.
2032-02-26,49316,51,5385,
2032-03-04,59896,55,9056,Two containers delayed at port.
2032-03-11,64282,60,9359,
2032-03-18,50937,57,5848,Wholesale buyers reordered rice and pulses.
2032-03-25,62340,58,10473,
2032-04-01,59304,57,6974,
2032-04-08,63272,63,11338,
2032-04-15,64401,65,9196,
2032-04-22,61286,64,9438,
2032-04-29,66029,64,8967,
2032-05-06,58107,70,7159,
2032-05-13,50446,49,7557,
2032-05-20,67288,72,9232,
2032-05-27,53845,50,9272,
2032-06-03,43459,42,6814,
2032-06-10,59643,59,9937,
2032-06-17,45439,46,6998,
2032-06-24,39273,43,6653,Ad budget shifted to Facebook lead forms.
2032-07-01,38109,38,6562,
2032-07-08,48756,46,7099,
2032-07-15,36161,43,4506,
2032-07-22,48828,50,6699,Export shipment cleared on time.
2032-07-29,38512,37,5985,
2032-08-05,38674,36,4223,
2032-08-12,39710,39,5059,Packaging cost increased this week.
2032-08-19,51337,59,5822,
2032-08-26,49942,47,8740,
2032-09-02,47726,52,7684,
2032-09-09,50886,57,8763,
2032-09-16,51659,52,8317,
2032-09-23,58293,57,9548,
2032-09-30,67049,75,7509,
2032-10-07,70197,71,7960,
2032-10-14,69908,68,12136,
2032-10-21,57969,63,9090,Seasonal demand for dry food picked up.
2032-10-28,65309,61,9235,
2032-11-04,61951,65,8673,
2032-11-11,47668,51,5539,Ad budget shifted to Facebook lead forms.
2032-11-18,65006,60,8646,
2032-11-25,68202,76,9930,Wholesale buyers reordered rice and pulses.
2032-12-02,70758,74,10302,
2032-12-09,71502,85,7908,Wholesale buyers reordered rice and pulses.
2032-12-16,57934,59,8030,Packaging cost increased this week.
2032-12-23,72417,84,11761,
2032-12-30,72858,74,12648,
2033-01-06,62393,61,9696,Packaging cost increased this week.
2033-01-13,76177,85,13331,Ad budget shifted to Facebook lead forms.
2033-01-20,80984,77,12925,
2033-01-27,83949,99,9637,Ad budget shifted to Facebook lead forms.
2033-02-03,62691,65,10971,Wholesale buyers reordered rice and pulses.
2033-02-10,75329,77,8331,
2033-02-17,60811,59,9280,
2033-02-24,82833,97,13568,
2033-03-03,77249,90,9625,Wholesale buyers reordered rice and pulses.
2033-03-10,78871,86,9938,
2033-03-17,75318,74,11072,Seasonal demand for dry food picked up.
2033-03-24,71098,76,12243,
2033-03-31,55614,60,7163,Export shipment cleared on time.
2033-04-07,70489,66,7895,Export shipment cleared on time.
2033-04-14,47433,45,7703,
2033-04-21,51861,51,7624,Ad budget shifted to Facebook lead forms.
2033-04-28,47872,44,6166,
2033-05-05,63330,69,7980,
2033-05-12,59165,59,8200,Export shipment cleared on time.
2033-05-19,58567,68,8281,
2033-05-26,52579,52,9349,
2033-06-02,66584,64,10440,
2033-06-09,67115,72,10806,Packaging cost increased this week.
2033-06-16,65604,61,8082,Packaging cost increased this week.
2033-06-23,68154,67,11450,
2033-06-30,50657,56,6383,
2033-07-07,63323,62,9486,
2033-07-14,54751,55,7972,
2033-07-21,56115,63,9270,Ad budget shifted to Facebook lead forms.
2033-07-28,59661,59,9605,
2033-08-04,49479,56,6927,
2033-08-11,45689,48,5821,
2033-08-18,54304,64,9275,
2033-08-25,39332,37,6388,Packaging cost increased this week.
2033-09-01,39530,43,4870,
2033-09-08,38010,41,5162,
2033-09-15,45537,47,6248,
2033-09-22,45085,46,7827,
2033-09-29,43744,45,5940,Ad budget shifted to Facebook lead forms.
2033-10-06,46141,43,6589,
2033-10-13,54466,53,9227,
2033-10-20,56515,58,8862,
2033-10-27,67206,62,9032,
2033-11-03,54900,53,6841,Two containers delayed at port.
2033-11-10,56908,55,8525,Two containers delayed at port.
2033-11-17,57078,53,7671,Ad budget shifted to Facebook lead forms.
2033-11-24,61606,59,9315,
2033-12-01,65711,76,8832,
2033-12-08,68735,63,10297,
2033-12-15,68064,69,11244,
2033-12-22,59919,61,10654,
2033-12-29,66681,62,10642,
2034-01-05,55012,56,8318,
2034-01-12,68217,65,8309,Export shipment cleared on time.
2034-01-19,75251,74,13485,
2034-01-26,76138,76,13537,
2034-02-02,69219,72,10757,
2034-02-09,68559,64,8255,Export shipment cleared on time.
2034-02-16,75799,73,12204,
2034-02-23,76664,76,8372,
2034-03-02,68351,68,7751,Two containers delayed at port.
2034-03-09,64656,64,11315,
2034-03-16,83841,92,11738,
2034-03-23,76754,77,8596,
2034-03-30,69087,66,8705,Export shipment cleared on time.
2034-04-06,67576,64,11731,
2034-04-13,80315,78,11581,
2034-04-20,67106,70,7798,
2034-04-27,62886,68,7219,
2034-05-04,51283,61,7108,
2034-05-11,56504,52,8464,
2034-05-18,53985,63,9372,
2034-05-25,50291,60,6900,Export shipment cleared on time.
2034-06-01,49873,51,8937,Two containers delayed at port.
2034-06-08,50012,46,7562,
2034-06-15,59970,60,8060,
2034-06-22,59260,67,10122,
2034-06-29,43905,44,5778,
2034-07-06,52786,59,5764,Ad budget shifted to Facebook lead forms.
2034-07-13,51239,48,6169,Wholesale buyers reordered rice and pulses.
2034-07-20,65683,78,8920,
2034-07-27,63415,60,6925,
2034-08-03,54964,55,6002,
2034-08-10,63807,65,8040,
2034-08-17,60148,65,10610,
2034-08-24,66893,62,8990,
2034-08-31,53554,53,9072,Two containers delayed at port.
2034-09-07,51974,48,7204,
2034-09-14,62206,60,10538,
2034-09-21,55349,61,8291,Wholesale buyers reordered rice and pulses.
2034-09-28,50060,52,8340,Packaging cost increased this week.
2034-10-05,48427,46,8678,
2034-10-12,52600,53,5891,Export shipment cleared on time.
2034-10-19,52172,48,8765,Wholesale buyers reordered rice and pulses.
2034-10-26,67301,78,8291,Packaging cost increased this week.
2034-11-02,66744,66,9718,Packaging cost increased this week.
2034-11-09,60914,60,7675,Two containers delayed at port.
2034-11-16,66002,72,9610,
2034-11-23,73395,87,10070,Two containers delayed at port.
2034-11-30,67651,79,11650,
2034-12-07,75484,83,10039,Packaging cost increased this week.
2034-12-14,66536,80,11457,
2034-12-21,67263,77,11489,Export shipment cleared on time.
2034-12-28,83027,77,13832,
2035-01-04,69205,64,9979,
2035-01-11,79878,84,11071,
2035-01-18,88287,84,11124,
2035-01-25,62478,71,7522,
2035-02-01,81463,92,10264,Wholesale buyers reordered rice and pulses.
2035-02-08,73263,76,8205,
2035-02-15,64752,72,11060,
2035-02-22,66678,76,8681,
2035-03-01,73840,82,11992,
2035-03-08,66651,64,8398,Packaging cost increased this week.
2035-03-15,79580,91,13147,
2035-03-22,69626,80,10625,Export shipment cleared on time.
2035-03-29,85564,95,13776,
2035-04-05,78657,86,10131,Packaging cost increased this week.
2035-04-12,63343,70,10110,Two containers delayed at port.
2035-04-19,75680,77,9959,
2035-04-26,79499,85,10907,
2035-05-03,65721,62,8005,
2035-05-10,62578,60,9549,
2035-05-17,78164,74,12037,Export shipment cleared on time.
2035-05-24,67403,70,8587,Two containers delayed at port.
2035-05-31,68027,69,8476,
2035-06-07,59241,55,8460,
2035-06-14,61705,71,8293,
2035-06-21,63745,73,8121,Two containers delayed at port.
2035-06-28,53169,50,9453,
2035-07-05,52625,56,7073,Wholesale buyers reordered rice and pulses.
2035-07-12,47568,54,5661,Ad budget shifted to Facebook lead forms.
2035-07-19,50337,54,6202,
2035-07-26,53313,53,7091,Ad budget shifted to Facebook lead forms.
2035-08-02,44456,50,7780,
2035-08-09,44557,47,5552,Two containers delayed at port.
2035-08-16,59441,59,7073,
2035-08-23,61106,66,9239,Seasonal demand for dry food picked up.
2035-08-30,69715,68,8491,
2035-09-06,71464,72,10205,Two containers delayed at port.
2035-09-13,63649,59,8822,Ad budget shifted to Facebook lead forms.
2035-09-20,56195,61,6845,
2035-09-27,57517,56,9985,Wholesale buyers reordered rice and pulses.
2035-10-04,68577,71,11329,
2035-10-11,65274,76,8956,
2035-10-18,74905,70,11955,Ad budget shifted to Facebook lead forms.
2035-10-25,51141,59,8663,
2035-11-01,55634,63,8178,
2035-11-08,60858,65,8605,
2035-11-15,64577,76,10939,
2035-11-22,70718,66,7722,Packaging cost increased this week.
2035-11-29,68199,71,12221,
2035-12-06,53186,50,8563,
2035-12-13,59747,65,8281,
2035-12-20,68454,70,11213,Two containers delayed at port.
2035-12-27,67033,64,7414,Two containers delayed at port.
2036-01-03,74449,78,8443,
2036-01-10,68691,82,10290,
2036-01-17,84874,100,12714,
2036-01-24,87929,96,15141,
2036-01-31,85202,80,12048,
2036-02-07,100500,106,14492,
2036-02-14,70356,69,12608,
2036-02-21,70506,80,11154,Packaging cost increased this week.
2036-02-28,81773,95,12708,
2036-03-06,74923,78,10594,
2036-03-13,78335,81,13270,Wholesale buyers reordered rice and pulses.
2036-03-20,75181,79,9789,
2036-03-27,64735,63,7160,
2036-04-03,82521,88,13748,Ad budget shifted to Facebook lead forms.
2036-04-10,58047,66,7233,
2036-04-17,57153,54,10162,
2036-04-24,62222,65,11150,
2036-05-01,64913,69,7997,
2036-05-08,76297,79,12818,
2036-05-15,81086,92,13963,
2036-05-22,68388,77,11202,Export shipment cleared on time.
2036-05-29,77369,83,12890,
2036-06-05,77564,73,13248,Seasonal demand for dry food picked up.
2036-06-12,68772,71,7606,
2036-06-19,84826,82,12469,
2036-06-26,73551,75,12871,
2036-07-03,78198,87,8977,
2036-07-10,77385,79,10726,
2036-07-17,69881,67,10664,
2036-07-24,66182,70,7783,Ad budget shifted to Facebook lead forms.
2036-07-31,56447,56,8298,
2036-08-07,44926,46,5912,
2036-08-14,45003,52,6741,Packaging cost increased this week.
2036-08-21,56842,67,6207,
2036-08-28,51889,58,6175,Two containers delayed at port.
2036-09-04,49299,53,6971,Export shipment cleared on time.
2036-09-11,54730,53,8735,Seasonal demand for dry food picked up.
2036-09-18,62777,63,10810,
2036-09-25,47385,57,7762,Wholesale buyers reordered rice and pulses.
2036-10-02,71923,81,8861,
2036-10-09,73602,85,9068,
2036-10-16,61840,62,7446,Seasonal demand for dry food picked up.
2036-10-23,56754,59,7469,Export shipment cleared on time.
2036-10-30,71230,68,9374,
2036-11-06,77891,73,10469,Wholesale buyers reordered rice and pulses.
2036-11-13,62894,62,7749,
2036-11-20,73584,82,12362,
2036-11-27,75036,90,12081,Two containers delayed at port.
2036-12-04,73950,85,11285,
2036-12-11,80714,83,10848,
2036-12-18,73693,71,9801,
2036-12-25,64799,70,10796,
2037-01-01,71403,72,12695,
2037-01-08,85098,98,10603,
2037-01-15,86439,84,14038,
2037-01-22,74795,70,9424,Seasonal demand for dry food picked up.
2037-01-29,82326,93,9336,
2037-02-05,86497,85,11141,
2037-02-12,91731,88,14255,Export shipment cleared on time.
2037-02-19,94467,90,16135,
2037-02-26,95122,113,10787,
2037-03-05,105823,103,12889,Two containers delayed at port.
2037-03-12,90815,103,14494,
2037-03-19,95528,93,17119,Seasonal demand for dry food picked up.
2037-03-26,91285,100,11119,
2037-04-02,98628,91,10908,Ad budget shifted to Facebook lead forms.
2037-04-09,87627,93,11900,
2037-04-16,92342,88,13445,Ad budget shifted to Facebook lead forms.
2037-04-23,70493,81,7797,
2037-04-30,72265,78,12039,
2037-05-07,73735,69,10220,Packaging cost increased this week.
2037-05-14,63093,67,10865,Seasonal demand for dry food picked up.
2037-05-21,76058,75,11606,
2037-05-28,60737,68,9779,
2037-06-04,57086,53,7592,
2037-06-11,54707,53,9114,Export shipment cleared on time.
2037-06-18,78888,87,13364,
2037-06-25,67006,68,8724,
2037-07-02,72418,75,8719,Export shipment cleared on time.
2037-07-09,64551,60,8676,Wholesale buyers reordered rice and pulses.
2037-07-16,75376,72,8970,Export shipment cleared on time.
2037-07-23,67582,62,12016,
2037-07-30,68869,73,10991,
2037-08-06,73011,82,12675,
2037-08-13,69829,72,11634,
2037-08-20,66252,73,8533,
2037-08-27,63073,71,9183,
2037-09-03,65918,67,8398,Ad budget shifted to Facebook lead forms.
2037-09-10,60817,59,6897,
2037-09-17,61908,74,10747,
2037-09-24,57190,61,7046,Packaging cost increased this week.
2037-10-01,61007,66,8883,
2037-10-08,56177,52,8573,
2037-10-15,67361,77,11222,
2037-10-22,58404,54,9076,
2037-10-29,73117,81,12386,
2037-11-05,55072,51,8018,
2037-11-12,65501,77,8345,Packaging cost increased this week.
2037-11-19,84691,86,10197,
2037-11-26,86680,86,14926,
2037-12-03,76408,72,9841,
2037-12-10,73444,70,12236,
2037-12-17,72869,77,10406,Wholesale buyers reordered rice and pulses.
2037-12-24,91769,100,14775,Wholesale buyers reordered rice and pulses.
2037-12-31,102682,104,11788,
2038-01-07,91673,93,13604,
2038-01-14,73414,70,11511,
2038-01-21,71007,81,11830,Packaging cost increased this week.
2038-01-28,73466,73,10388,
2038-02-04,96303,111,14831,
2038-02-11,80114,74,12338,Seasonal demand for dry food picked up.
2038-02-18,93524,98,16760,
2038-02-25,82425,82,11770,Seasonal demand for dry food picked up.
2038-03-04,87209,89,9767,
2038-03-11,97548,96,10925,Wholesale buyers reordered rice and pulses.
2038-03-18,74091,70,8506,
2038-03-25,99669,93,16186,
2038-04-01,106058,120,17966,Packaging cost increased this week.
2038-04-08,89170,91,11485,Export shipment cleared on time.
2038-04-15,92072,96,15597,Wholesale buyers reordered rice and pulses.
2038-04-22,79870,74,10399,Seasonal demand for dry food picked up.
2038-04-29,88710,98,15897,
2038-05-06,79634,93,11037,
2038-05-13,77990,76,10045,
2038-05-20,101216,105,16437,
2038-05-27,84354,94,10983,
2038-06-03,79917,95,12419,Export shipment cleared on time.
2038-06-10,85097,90,14892,
2038-06-17,59668,59,8771,
2038-06-24,81976,78,11706,
2038-07-01,66295,74,11509,
2038-07-08,69221,74,9788,
2038-07-15,53622,63,6231,Packaging cost increased this week.
2038-07-22,61742,70,10113,Two containers delayed at port.
2038-07-29,57678,67,9932,
2038-08-05,62821,64,10202,
2038-08-12,59666,61,7936,
2038-08-19,55234,56,6959,
2038-08-26,76479,79,8673,
2038-09-02,55629,58,6698,
2038-09-09,81899,88,11810,
2038-09-16,65870,61,11343,
2038-09-23,60322,60,10387,Export shipment cleared on time.
2038-09-30,66085,69,10732,
2038-10-07,56385,57,7736,Two containers delayed at port.
2038-10-14,66771,74,8787,Export shipment cleared on time.
2038-10-21,58984,67,8505,Ad budget shifted to Facebook lead forms.
2038-10-28,70894,80,9230,
2038-11-04,72635,84,9559,Two containers delayed at port.
2038-11-11,69241,66,10566,Export shipment cleared on time.
2038-11-18,76822,78,13121,Two containers delayed at port.
2038-11-25,65281,78,11150,
2038-12-02,61937,59,10752,Ad budget shifted to Facebook lead forms.
2038-12-09,74284,74,11024,
2038-12-16,65341,67,11526,Packaging cost increased this week.
2038-12-23,87172,83,15499,
2038-12-30,78596,82,13534,Two containers delayed at port.
2039-01-06,87360,92,11007,Ad budget shifted to Facebook lead forms.
2039-01-13,74142,72,12248,
2039-01-20,94802,92,13538,Two containers delayed at port.
2039-01-27,97990,90,11935,Packaging cost increased this week.
2039-02-03,100344,103,17560,
2039-02-10,114179,119,18383,
2039-02-17,85343,83,10156,
2039-02-24,87244,94,10748,
2039-03-03,97814,97,12872,Ad budget shifted to Facebook lead forms.
2039-03-10,89533,99,14540,Packaging cost increased this week.
2039-03-17,99139,96,14851,
2039-03-24,71122,79,8165,
2039-03-31,103183,116,17479,Two containers delayed at port.
2039-04-07,76693,90,10415,
2039-04-14,78785,90,9045,Two containers delayed at port.
2039-04-21,98144,92,13191,Packaging cost increased this week.
2039-04-28,94547,99,13104,
2039-05-05,91251,97,10348,
2039-05-12,90610,93,10529,
2039-05-19,74162,68,8306,
2039-05-26,77378,76,8775,Export shipment cleared on time.
2039-06-02,75801,86,10506,Ad budget shifted to Facebook lead forms.
2039-06-09,87728,95,10808,Seasonal demand for dry food picked up.
2039-06-16,88328,97,13479,Two containers delayed at port.
2039-06-23,99122,108,13322,
2039-06-30,69005,74,12366,Wholesale buyers reordered rice and pulses.
2039-07-07,81376,95,10937,Wholesale buyers reordered rice and pulses.
2039-07-14,67927,72,8654,
2039-07-21,86144,82,15437,Ad budget shifted to Facebook lead forms.
